Date,Existing Holdings Contribution Monthly Return
2020-02-01,-0.016770589286579755
2020-03-01,-0.02575256020703703
2020-04-01,0.09761557700828385
2020-05-01,0.04271456494428216
2020-06-01,0.04791771164696337
2020-07-01,0.043481770447543304
2020-08-01,0.08147511312633657
2020-09-01,-0.029202192774411776
2020-10-01,-0.028824767561406082
2020-11-01,0.04741363737505604
2020-12-01,0.026721461034490555
2021-01-01,-0.0001867927901694896
2021-02-01,0.007142820013933591
2021-03-01,0.003677991888031288
2021-04-01,0.04634192983275294
2021-05-01,0.0035726472393358515
2021-06-01,0.05863688627159998
2021-07-01,0.012183805659457078
2021-08-01,0.03641312563138514
2021-09-01,-0.03326849754299056
2021-10-01,0.05887577762343259
2021-11-01,0.03320193757999694
2021-12-01,0.009538197940901775
2022-01-01,-0.06010628570451506
2022-02-01,-0.03446437383614071
2022-03-01,0.03499057184778566
2022-04-01,-0.10228116568017842
2022-05-01,-0.004368671197298259
2022-06-01,-0.06533208114471872
2022-07-01,0.08820313410576625
2022-08-01,-0.03958989457614601
2022-09-01,-0.06606962052457784
2022-10-01,0.013829402018829935
2022-11-01,0.05520506266765929
2022-12-01,-0.040321785613334105
2023-01-01,0.09366243724134629
2023-02-01,0.015100575769193903
2023-03-01,0.07733133879471049
2023-04-01,0.02158239097584659
2023-05-01,0.08329887387990881
2023-06-01,0.050166378326419715
2023-07-01,0.02429911885418147
2023-08-01,0.010252186228400597
2023-09-01,-0.040761543449632266
2023-10-01,0.009769181823337813
2023-11-01,0.06806263047488512
2023-12-01,0.029534464178219103
2024-01-01,0.04946972310987034
2024-02-01,0.07538997169574543
2024-03-01,0.01545381674637817
2024-04-01,-0.02854357114436833
2024-05-01,0.05167067730303361
2024-06-01,0.05760977864144506
2024-07-01,-0.02048998292897566
2024-08-01,0.016384731579173563
2024-09-01,0.01652685477327364
2024-10-01,0.0031511500511896638
2024-11-01,0.030323106337547874
2024-12-01,0.025798123965071196
2025-01-01,0.008549520086863781
2025-02-01,-0.00795016439371259
2025-03-01,-0.05431688530151213
2025-04-01,0.014874502250944784
2025-05-01,0.07751766867405013
2025-06-01,0.05374278539461064
2025-07-01,0.025240204755225693
2025-08-01,-0.008392848889809588
2025-09-01,0.016345312538118627
2025-10-01,0.02116596420845502
2025-11-01,-0.012006758721230373
2025-12-01,-0.004563339115111984
