Ticker,AAPL,AMZN,AVGO,INTU,LLY,META,MSFT,NFLX,NVDA,V
AAPL,1.0,0.6117737084237376,0.42501480481128884,0.5217158738516715,0.19725518574776685,0.32888566438337424,0.566772967058349,0.4043683596143871,0.4850929302225822,0.47924160168539165
AMZN,0.6117737084237376,1.0,0.4741842424310657,0.5599183295383915,0.09641969493731908,0.4908703403679473,0.6628110735868965,0.5701920546573251,0.6144623613542334,0.3464158874994255
AVGO,0.42501480481128884,0.4741842424310657,1.0,0.4389140400736571,0.1880956585206141,0.37775283863762354,0.5558714038888217,0.3894032588292774,0.46937982133510747,0.27237034267243565
INTU,0.5217158738516715,0.5599183295383915,0.4389140400736571,1.0,0.11801829782885478,0.4082283511753533,0.6748913525457603,0.4722908443286625,0.5517046366995981,0.5247596363657399
LLY,0.19725518574776685,0.09641969493731908,0.1880956585206141,0.11801829782885478,1.0,-0.037638793643797304,0.22917347871553073,0.1997832105419576,0.07775579821192534,0.10785949175309306
META,0.32888566438337424,0.4908703403679473,0.37775283863762354,0.4082283511753533,-0.037638793643797304,1.0,0.5659545915012126,0.24756483087335632,0.5169407815936817,0.3241229349461513
MSFT,0.566772967058349,0.6628110735868965,0.5558714038888217,0.6748913525457603,0.22917347871553073,0.5659545915012126,1.0,0.5157757604827711,0.6690988719560326,0.3520115455429299
NFLX,0.4043683596143871,0.5701920546573251,0.3894032588292774,0.4722908443286625,0.1997832105419576,0.24756483087335632,0.5157757604827711,1.0,0.5587281363191325,0.31594318005839456
NVDA,0.4850929302225822,0.6144623613542334,0.46937982133510747,0.5517046366995981,0.07775579821192534,0.5169407815936817,0.6690988719560326,0.5587281363191325,1.0,0.2747190812226526
V,0.47924160168539165,0.3464158874994255,0.27237034267243565,0.5247596363657399,0.10785949175309306,0.3241229349461513,0.3520115455429299,0.31594318005839456,0.2747190812226526,1.0
