Date,Existing Sleeve Monthly Return,Existing Sleeve Cumulative Return
2020-02-01,-0.028233315297272313,0.9717666847027276
2020-03-01,-0.043354478463025314,0.9296362468996977
2020-04-01,0.1643359882294341,1.0824089382278619
2020-05-01,0.07191004199374101,1.1602450104302282
2020-06-01,0.08066954822721106,1.2538414512545104
2020-07-01,0.07320163375007291,1.345624693949903
2020-08-01,0.13716349011167775,1.5301952733525301
2020-09-01,-0.04916194069766292,1.454967904068129
2020-10-01,-0.04852654471617186,1.384363339010772
2020-11-01,0.0798209383418452,1.4948645197366615
2020-12-01,0.044985624637189484,1.5621119339049876
2021-01-01,-0.00031446597671631535,1.5616207028499518
2021-02-01,0.01202494951840672,1.5803991129686215
2021-03-01,0.006191905535406212,1.590184794984363
2021-04-01,0.07801671689015646,1.7142457919376894
2021-05-01,0.006014557641979544,1.7245562220658195
2021-06-01,0.09871529675353531,1.8947963012952027
2021-07-01,0.020511457339153327,1.9336613347956049
2021-08-01,0.06130155830199519,2.0521977878468913
2021-09-01,-0.05600757162119624,1.9372591732631959
2021-10-01,0.0991174707465195,2.129275402697537
2021-11-01,0.05589551781144266,2.2482923538944837
2021-12-01,0.016057572291080426,2.284394470898628
2022-01-01,-0.10118903317258429,2.0532388030035986
2022-02-01,-0.05802083137397426,1.934108180644026
2022-03-01,0.058906686612433784,2.0480400851157676
2022-04-01,-0.17219051461309498,1.6953870089114367
2022-05-01,-0.007354665315316933,1.6829180048809569
2022-06-01,-0.10998666859380257,1.4978194600075716
2022-07-01,0.14849012475718223,1.7202308584878312
2022-08-01,-0.06664965416859599,1.6055780666794701
2022-09-01,-0.11122831738144418,1.4269923198981607
2022-10-01,0.023281821580521778,1.4602153004868044
2022-11-01,0.09293781593882036,1.5959245213144961
2022-12-01,-0.06788179396184194,1.4875903017799743
2023-01-01,0.15768087077667725,1.7221548359235808
2023-02-01,0.025421844729282668,1.7659351887622132
2023-03-01,0.13018743904833416,1.9958377685125024
2023-04-01,0.03633399154182927,2.068354521112499
2023-05-01,0.1402337944106209,2.3584077237944676
2023-06-01,0.08445518236770996,2.5575874782049453
2023-07-01,0.040907607498622,2.6622122629067437
2023-08-01,0.01725957277508518,2.708160909201107
2023-09-01,-0.06862212701958295,2.5223211473004397
2023-10-01,0.016446434046023257,2.563804335692406
2023-11-01,0.1145835529880221,2.857574145642138
2023-12-01,0.04972132016535202,2.9996565046338426
2024-01-01,0.08328236213782886,3.249474983941852
2024-02-01,0.12691914426893172,3.6618955682270524
2024-03-01,0.026016526509054155,3.7571653713512196
2024-04-01,-0.048053150074694156,3.5766217399062357
2024-05-01,0.08698767222732931,3.8877437394983394
2024-06-01,0.0969861593290321,4.264801073247772
2024-07-01,-0.034494920755851276,4.117687098186621
2024-08-01,0.027583723197261892,4.231268239315938
2024-09-01,0.027822987833794006,4.3489947640599445
2024-10-01,0.005304966416144212,4.372066035227269
2024-11-01,0.05104900056826242,4.595255636744067
2024-12-01,0.04343118512638249,4.794833035006551
2025-01-01,0.014393131459366638,4.8638456972051145
2025-02-01,-0.013384115140930287,4.798747426366003
2025-03-01,-0.09144256784766353,4.359937639246729
2025-04-01,0.025041249580715127,4.4691159258274595
2025-05-01,0.13050112571388914,5.052340585093813
2025-06-01,0.09047606968789672,5.509456503957749
2025-07-01,0.04249192719734965,5.743563928620887
2025-08-01,-0.014129375235369675,5.662410958685068
2025-09-01,0.02751736117528389,5.81822556615809
2025-10-01,0.035632936377870406,6.025546027589101
2025-11-01,-0.020213398520589856,5.903749264429285
2025-12-01,-0.007682389082680105,5.858394365533353
