,Full Portfolio Drawdown
2020-01-01,0.0
2020-02-01,-0.06083350290739531
2020-03-01,-0.14197000133897753
2020-04-01,-0.023684749210145295
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,-0.041758986194950554
2020-10-01,-0.07678302197374887
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,-0.03507834633182805
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,-0.0452938038247821
2022-02-01,-0.07785150004472963
2022-03-01,-0.02787719912932396
2022-04-01,-0.13613953677437163
2022-05-01,-0.12684618390157798
2022-06-01,-0.2113877539958411
2022-07-01,-0.12986357331415022
2022-08-01,-0.1760528114676091
2022-09-01,-0.25472265125845805
2022-10-01,-0.18647942567722664
2022-11-01,-0.12038425598699132
2022-12-01,-0.15422096765099336
2023-01-01,-0.07301867243369875
2023-02-01,-0.07021440307727722
2023-03-01,-0.0012559518570145478
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,-0.05459287337094354
2023-10-01,-0.06048655851021356
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,-0.038934113465437514
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,-0.0002785430181755366
2024-11-01,0.0
2024-12-01,-0.0017469484483301212
2025-01-01,0.0
2025-02-01,-0.0004778028168904713
2025-03-01,-0.05722169962849577
2025-04-01,-0.06480685336913128
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,-0.0005139886351294143
2025-09-01,0.0
2025-10-01,0.0
2025-11-01,-0.006345740287128754
2025-12-01,-0.003645149181483398
